page,source,kind,local_exists,bytes
about-lienbang/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2021/07/連邦中醫白logo.png,remote,,
about-lienbang/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/S__26058755-scaled.jpg,remote,,
about-lienbang/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/integrated-care-direction.webp,remote,,
about-lienbang/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/ntu-campus-meeting.webp,remote,,
about-lienbang/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/tcm-physical-therapy-paths.webp,remote,,
acupuncture/index.html,/acupuncture/no-retention-acupuncture-assessment.webp,local,True,77888
acupuncture-physical-therapy/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/lienbang-movement-assessment.webp,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/02/LINE_ALBUM_202378%E5%85%A8%E5%AE%B6%E7%A6%8F%E7%85%A7%E7%89%87-%E5%80%8B%E4%BA%BA%E5%BD%A2%E8%B1%A1%E7%85%A7_260206_1.jpg,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/03/pexels-photo-15469266-15469266-1367x2048.jpg,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/03/pexels-photo-7162254-7162254-1536x1024.jpg,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/06/gerd-diet-lifestyle-triggers.jpg,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-1-1024x546.png,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-1024x512.png,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-2-1024x512.png,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-3-1024x576.png,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-3.png,remote,,
index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/dai-xuan-yuan-doctor-profile.jpg,remote,,
pulse-diagnosis/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/single-herb-formulation-detail.webp,remote,,
services/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-3-1024x576.png,remote,,
services/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/no-retention-acupuncture-hero.webp,remote,,
services/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/single-herb-formulation-hero.webp,remote,,
symptoms/gerd/index.html,images/gerd-daily-care-v2.jpg,local,True,154511
symptoms/gerd/index.html,images/gerd-daily-care-v2.webp,local,True,88602
symptoms/gerd/index.html,images/gerd-lifestyle-triggers-v2.jpg,local,True,138626
symptoms/gerd/index.html,images/gerd-lifestyle-triggers-v2.webp,local,True,73040
symptoms/gerd/index.html,images/gerd-symptoms-mechanism.jpg,local,True,80401
symptoms/gerd/index.html,images/gerd-symptoms-mechanism.webp,local,True,42638
symptoms/gerd/index.html,images/gerd-tcm-treatment.jpg,local,True,138341
symptoms/gerd/index.html,images/gerd-tcm-treatment.webp,local,True,88248
symptoms/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-1-1024x546.png,remote,,
symptoms/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-2-1024x512.png,remote,,
symptoms/index.html,https://lienbangtcm.tw/storage/twyuting10210314859/2026/07/clipboard-3.png,remote,,
symptoms/insomnia/index.html,images/insomnia-daily-care.jpg,local,True,111507
symptoms/insomnia/index.html,images/insomnia-daily-care.webp,local,True,54056
symptoms/insomnia/index.html,images/insomnia-evaluation.jpg,local,True,160047
symptoms/insomnia/index.html,images/insomnia-evaluation.webp,local,True,105212
symptoms/insomnia/index.html,images/insomnia-factors.jpg,local,True,139246
symptoms/insomnia/index.html,images/insomnia-factors.webp,local,True,82090
symptoms/insomnia/index.html,images/insomnia-hero.jpg,local,True,128216
symptoms/insomnia/index.html,images/insomnia-hero.webp,local,True,72474
